Player;Age;90s;Gls;Ast;G+A;DxG;DxAG;PrgC;PrgP;PrgR;Gls/90;Ast/90;G+A/90;DxG/90;DxAG/90;Price
Nathan N'Goumou;23;1.0;0;0;0;0;-0.3;1;5;7;0.00;0.00;0.00;0;-0.25;
Nathan N'Goumou;23;7.7;1;0;1;0.2;-0.3;23;14;63;0.13;0.00;0.13;0.02;-0.04;
Álvaro Negredo;38;8.4;1;2;3;-0.8;-0.4;4;17;22;0.12;0.24;0.36;-0.09;-0.04;
Reiss Nelson;24;2.4;3;2;5;1.9;0.6;19;6;34;1.27;0.85;2.12;0.81;0.27;
Ibrahima Niane;24;12.6;2;0;2;-1.4;-0.5;11;24;57;0.16;0.00;0.16;-0.11;-0.04;
M'Baye Niang;29;16.5;6;0;6;-1.2;-0.6;17;30;87;0.36;0.00;0.36;-0.08;-0.03;
Florian Niederlechner;33;8.7;1;0;1;-1.3;-0.2;9;11;28;0.12;0.00;0.12;-0.14;-0.02;
Justin Njinmah;23;0.2;0;0;0;0;0;1;0;4;0.00;0.00;0.00;0;0;
Eddie Nketiah;24;12.1;4;1;5;-4.2;-0.3;32;15;82;0.33;0.08;0.41;-0.35;-0.03;
Lukas Nmecha;25;10.0;4;0;4;1;-0.5;15;18;70;0.40;0.00;0.40;0.1;-0.05;
Arnaud Nordin;25;26.7;9;3;12;2.5;0.1;109;63;181;0.34;0.11;0.45;0.1;0;
Darwin Núñez;24;18.8;9;3;12;-3.1;-2.4;61;29;181;0.48;0.16;0.64;-0.16;-0.12;
Ethan Nwaneri;16;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
M'Bala Nzola;27;29.5;13;2;15;2;-0.5;50;50;215;0.44;0.07;0.51;0.07;-0.02;
Ado Onaiwu;28;12.0;2;1;3;0.4;-0.1;11;30;86;0.17;0.08;0.25;0.04;-0.01;
Paul Onuachu;29;4.5;0;0;0;-1.3;-0.1;1;7;22;0.00;0.00;0.00;-0.28;-0.03;
Loïs Openda;23;28.0;21;4;25;2.5;-0.2;61;42;206;0.75;0.14;0.89;0.09;-0.01;
Divock Origi;28;11.4;2;1;3;-0.1;-0.2;24;18;79;0.18;0.09;0.26;-0.01;-0.01;
Riccardo Orsolini;26;23.6;11;4;15;0.5;0.9;53;62;212;0.47;0.17;0.64;0.03;0.04;
Victor Osimhen;25;28.5;26;4;30;4.7;1.2;43;28;196;0.91;0.14;1.05;0.16;0.04;
Adam Ounas;27;0.2;0;0;0;0;0;3;4;1;0.00;0.00;0.00;-0.23;0;
David Ozoh;18;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Moises Parra Gutierrez;21;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Paulinho;23;0.9;1;0;1;0.5;0;3;4;8;1.10;0.00;1.10;0.52;0;
Pedro;36;21.1;4;3;7;0.6;0.4;64;52;144;0.19;0.14;0.33;0.03;0.01;
Jordan Pefok;27;15.1;4;4;8;-0.5;2.2;4;27;53;0.27;0.27;0.53;-0.03;0.15;
Dženan Pejčinović;18;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Pietro Pellegri;22;5.2;2;0;2;0.5;-0.5;4;8;50;0.39;0.00;0.39;0.1;-0.1;
Ricardo Pepi;20;1.1;0;0;0;-0.1;-0.1;2;1;4;0.00;0.00;0.00;-0.09;-0.06;
Juan Perea;23;4.6;1;0;1;0.8;-0.7;9;8;29;0.22;0.00;0.22;0.18;-0.14;
Lucas Pérez;35;7.0;3;0;3;1;-0.6;8;14;24;0.43;0.00;0.43;0.15;-0.08;
Andrea Petagna;28;18.5;4;5;9;-1.7;0.6;23;34;132;0.22;0.27;0.49;-0.09;0.03;
Nils Petersen;35;3.1;1;0;1;-0.2;0;1;5;12;0.32;0.00;0.32;-0.07;-0.01;
Luca Pfeiffer;27;7.8;0;0;0;-1.6;-1;9;22;38;0.00;0.00;0.00;-0.21;-0.13;
Maximilian Philipp;29;1.3;0;0;0;-0.1;0;3;1;6;0.00;0.00;0.00;-0.05;-0.03;
Krzysztof Piątek;28;23.8;4;5;9;-4.3;2.9;27;33;121;0.17;0.21;0.38;-0.18;0.12;
Roberto Piccoli;22;2.1;0;0;0;-0.4;-0.2;2;0;8;0.00;0.00;0.00;-0.19;-0.08;
Roberto Piccoli;22;5.7;2;0;2;0.7;-0.4;8;4;25;0.35;0.00;0.35;0.13;-0.07;
Andrea Pinamonti;24;24.0;5;0;5;-2.1;-1.5;17;29;166;0.21;0.00;0.21;-0.09;-0.06;
Gonzalo Plata;23;25.6;1;5;6;-2.7;1.9;97;54;213;0.04;0.20;0.23;-0.11;0.08;
Alassane Pléa;30;19.7;2;9;11;-3;5;41;94;156;0.10;0.46;0.56;-0.15;0.26;
Matteo Politano;30;13.0;3;3;6;-1.1;-0.6;81;72;138;0.23;0.23;0.46;-0.09;-0.05;
Sebastian Polter;32;7.0;2;3;5;0;2;4;11;32;0.29;0.43;0.71;0.01;0.28;
Yussuf Poulsen;29;4.6;2;1;3;0.7;-0.8;10;7;40;0.44;0.22;0.66;0.15;-0.17;
Manuel Pozo;22;0.2;0;0;0;-0.1;0;0;1;1;0.00;0.00;0.00;-0.49;-0.17;
Fabio Quagliarella;40;8.9;1;1;2;-1.8;0.3;5;25;72;0.11;0.11;0.22;-0.2;0.03;
Ștefan Radu;37;0.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0;0;
Antonio Raimondo;19;0.2;0;0;0;0;0;1;0;3;0.00;0.00;0.00;0;0;
Chris Ramos;26;7.9;1;0;1;-2;-0.2;9;6;35;0.13;0.00;0.13;-0.25;-0.03;
Raphinha;27;23.0;7;7;14;-2.3;-2.8;97;104;339;0.30;0.30;0.61;-0.11;-0.13;
Marcus Rashford;26;32.0;17;5;22;1.6;1.6;85;88;245;0.53;0.16;0.69;0.05;0.05;
Giacomo Raspadori;23;0.5;0;0;0;0;0;0;2;4;0.00;0.00;0.00;0;0;
Tony Rölke;20;0.2;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Luka Romero;19;1.7;1;0;1;0.1;-0.1;4;4;21;0.60;0.00;0.60;0.08;-0.04;
Cristiano Ronaldo;38;5.8;1;0;1;-0.9;-0.4;9;12;33;0.17;0.00;0.17;-0.15;-0.07;
Salomón Rondón;34;1.2;0;0;0;-0.8;-0.2;0;1;7;0.00;0.00;0.00;-0.66;-0.13;
Georginio Rutter;21;11.2;2;2;4;-1;-0.3;32;25;75;0.18;0.18;0.36;-0.09;-0.03;
Umar Sadiq;26;2.7;2;0;2;0.5;-0.2;5;2;7;0.75;0.00;0.75;0.2;-0.06;
Umar Sadiq;26;0.9;1;0;1;0.5;0;0;1;6;1.10;0.00;1.10;0.6;0;
Allan Saint-Maximin;26;12.4;1;5;6;-0.6;0.4;93;69;111;0.08;0.40;0.48;-0.05;0.03;
Bukayo Saka;22;35.3;14;11;25;2.8;2.5;179;109;520;0.40;0.31;0.71;0.08;0.07;
Mohamed Salah;31;36.6;19;12;31;-2.7;4.3;120;149;421;0.52;0.33;0.85;-0.07;0.12;
Mama Samba Baldé;28;29.6;12;3;15;1.4;0.9;51;56;179;0.41;0.10;0.51;0.05;0.03;
Antonio Sanabria;27;27.0;12;4;16;2.7;1;17;46;139;0.44;0.15;0.59;0.1;0.04;
Sidi Sané;20;0.3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Nicola Sansone;32;8.2;4;2;6;1.2;1;17;13;72;0.49;0.24;0.73;0.15;0.12;
Riccardo Saponara;32;13.4;4;3;7;1.2;-0.4;56;56;125;0.30;0.22;0.52;0.09;-0.04;
Amin Sarr;22;6.0;1;1;2;-0.2;0.6;12;9;47;0.17;0.17;0.34;-0.04;0.1;
Bouna Sarr;31;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Martin Satriano;22;18.9;2;1;3;-1.9;-0.2;29;22;127;0.11;0.05;0.16;-0.09;-0.02;
Esteban Saveljich;32;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Gianluca Scamacca;24;10.3;3;0;3;0.5;-0.7;13;17;48;0.29;0.00;0.29;0.05;-0.07;
Kevin Schade;22;8.1;0;1;1;-2.1;-0.1;24;15;57;0.00;0.12;0.12;-0.25;-0.02;
Patrik Schick;27;10.5;3;1;4;-1.6;0.4;8;11;68;0.29;0.10;0.38;-0.15;0.05;
Haris Seferović;31;9.9;3;1;4;1.2;0.5;12;17;44;0.30;0.10;0.41;0.11;0.05;
Davie Selke;28;3.1;1;1;2;-0.2;0.1;3;5;22;0.32;0.32;0.64;-0.07;0.04;
Davie Selke;28;9.7;5;0;5;1.6;-0.9;7;16;40;0.52;0.00;0.52;0.17;-0.09;
Eldor Shomurodov;28;9.0;1;1;2;-1.8;-0.4;7;15;53;0.11;0.11;0.22;-0.2;-0.04;
Eldor Shomurodov;28;1.3;0;0;0;-0.6;0;3;4;15;0.00;0.00;0.00;-0.45;0;
André Silva;28;19.3;4;3;7;-5.2;0.1;35;37;142;0.21;0.16;0.36;-0.26;0.01;
Abdallah Sima;22;20.4;5;1;6;0.2;-1.2;38;21;140;0.25;0.05;0.29;0.01;-0.06;
Giovanni Simeone;28;4.5;4;1;5;2.6;-0.2;11;9;34;0.88;0.22;1.11;0.58;-0.04;
Ellis Simms;22;2.5;1;0;1;0.1;-0.1;2;4;19;0.39;0.00;0.39;0.05;-0.03;
Luis Sinisterra;24;9.6;5;0;5;1.3;-0.4;30;39;84;0.52;0.00;0.52;0.13;-0.04;
Islam Slimani;35;11.0;1;1;2;-1.5;-0.2;11;26;61;0.09;0.09;0.18;-0.14;-0.02;
Manor Solomon;24;6.4;4;0;4;2.8;-0.4;16;24;51;0.63;0.00;0.63;0.44;-0.06;
Riccardo Sottil;24;9.3;0;2;2;-1;0.9;65;27;123;0.00;0.22;0.22;-0.11;0.1;
Moussa Soumano;18;5.5;1;0;1;0.5;-0.3;5;1;19;0.18;0.00;0.18;0.08;-0.05;
Dyego Sousa;34;5.9;0;1;1;-1.2;0;10;16;39;0.00;0.17;0.17;-0.2;0;
Jay Stansfield;21;1.0;0;0;0;-0.3;-0.1;2;0;4;0.00;0.00;0.00;-0.26;-0.09;
Calvin Stengs;25;2.4;0;0;0;-0.3;-0.1;10;12;16;0.00;0.00;0.00;-0.12;-0.05;
Jørgen Strand Larsen;23;18.9;4;4;8;-1.6;2;17;14;73;0.21;0.21;0.42;-0.09;0.1;
Dávid Strelec;22;1.9;0;0;0;-0.5;-0.1;2;1;14;0.00;0.00;0.00;-0.28;-0.05;
Cristhian Stuani;37;12.1;9;0;9;-0.7;-1.3;2;10;26;0.74;0.00;0.74;-0.06;-0.1;
Isaac Success;27;20.2;1;6;7;-2.3;2;37;53;200;0.05;0.30;0.35;-0.12;0.1;
Crysencio Summerville;22;15.8;4;2;6;1.1;0.4;51;45;92;0.25;0.13;0.38;0.07;0.03;
Sam Surridge;25;3.6;1;0;1;-0.8;-0.1;2;6;17;0.28;0.00;0.28;-0.22;-0.02;
Alexander Sørloth;28;26.5;12;3;15;-0.7;-1.2;41;20;132;0.45;0.11;0.57;-0.03;-0.05;
Alexander Sørloth;28;0.1;0;0;0;0;0;0;0;1;0.00;0.00;0.00;0;0;
Mathys Tel;18;4.6;5;0;5;2.3;-0.7;12;11;59;1.08;0.00;1.08;0.5;-0.14;
Simon Terodde;35;20.3;5;0;5;-1.3;-2.3;5;19;68;0.25;0.00;0.25;-0.06;-0.12;
Tetê;23;8.2;1;0;1;-0.8;-0.4;22;26;55;0.12;0.00;0.12;-0.1;-0.05;
Jan Thielmann;21;9.7;2;2;4;0.9;1.1;27;19;66;0.21;0.21;0.41;0.1;0.12;
Marcus Thuram;26;27.9;13;6;19;-3.5;0.8;75;46;170;0.47;0.21;0.68;-0.12;0.02;
Steffen Tigges;25;17.7;6;1;7;1;-0.9;20;31;81;0.34;0.06;0.39;0.06;-0.05;
Raúl de Tomás;29;8.9;4;0;4;-1.1;-0.5;13;18;51;0.45;0.00;0.45;-0.12;-0.06;
Ivan Toney;27;32.8;20;4;24;1.3;-1.1;14;79;165;0.61;0.12;0.73;0.04;-0.03;
Yoann Touzghar;37;5.0;0;0;0;-0.2;0;3;7;24;0.00;0.00;0.00;-0.05;-0.01;
Leandro Trossard;29;10.3;1;10;11;-0.8;5.3;36;57;102;0.10;0.97;1.06;-0.08;0.51;
Frank Tsadjout;24;11.7;3;1;4;1;0.5;15;18;63;0.26;0.09;0.34;0.09;0.04;
Enes Ünal;26;33.0;14;3;17;2.3;-0.5;29;55;148;0.42;0.09;0.52;0.06;-0.02;
Jamie Vardy;36;20.6;3;4;7;-3.7;2.6;16;14;101;0.15;0.19;0.34;-0.18;0.12;
Gabriel Vidovic;20;0.2;0;1;1;0;0.9;0;1;2;0.00;4.74;4.74;0;4.35;
Asier Villalibre;26;1.1;0;0;0;-0.3;-0.2;0;2;9;0.00;0.00;0.00;-0.29;-0.19;
Carlos Vinícius;28;12.3;5;2;7;1.7;1.2;9;15;46;0.41;0.16;0.57;0.14;0.1;
Alan Virginius;20;2.9;1;0;1;-2.1;0;12;10;32;0.35;0.00;0.35;-0.72;-0.01;
Vitinha;23;5.2;2;0;2;-2;-0.2;3;9;41;0.39;0.00;0.39;-0.38;-0.03;
Dušan Vlahović;23;21.4;10;2;12;0.3;-0.4;22;40;117;0.47;0.09;0.56;0.02;-0.02;
Elye Wahi;20;27.9;19;5;24;6.8;1.4;57;25;190;0.68;0.18;0.86;0.24;0.05;
Ollie Watkins;28;34.7;15;6;21;-1.5;2.2;50;39;196;0.43;0.17;0.60;-0.04;0.06;
Shon Weissman;27;8.3;1;0;1;-1.3;-0.2;7;4;15;0.12;0.00;0.12;-0.16;-0.02;
Danny Welbeck;33;20.6;6;3;9;-3.4;-1.3;31;49;134;0.29;0.15;0.44;-0.17;-0.06;
Iñaki Williams;29;31.5;10;3;13;-0.7;-1.8;127;61;341;0.32;0.10;0.41;-0.02;-0.05;
Nico Williams;21;29.5;6;4;10;1.1;-2.4;174;80;321;0.20;0.14;0.34;0.03;-0.08;
Willian;35;23.6;5;5;10;1.6;0.6;97;113;152;0.21;0.21;0.42;0.07;0.02;
Callum Wilson;31;20.9;18;5;23;0.5;2.3;27;19;118;0.86;0.24;1.10;0.02;0.11;
Harry Wilson;26;12.2;2;3;5;0;2.1;18;37;87;0.16;0.25;0.41;0;0.18;
Jonas Wind;24;14.3;6;0;6;0.8;-1.3;7;41;89;0.42;0.00;0.42;0.06;-0.09;
Yoane Wissa;27;17.8;7;3;10;1.4;0.5;24;27;104;0.39;0.17;0.56;0.07;0.03;
Hannes Wolf;24;5.0;1;1;2;-0.4;0.7;12;13;37;0.20;0.20;0.40;-0.09;0.15;
Chris Wood;32;5.0;2;0;2;0.2;-0.3;1;4;23;0.40;0.00;0.40;0.03;-0.06;
Chris Wood;32;4.1;1;0;1;0;-0.2;2;7;12;0.24;0.00;0.24;0.01;-0.05;
Lamine Yamal;16;0.1;0;0;0;-0.4;0;0;2;2;0.00;0.00;0.00;-3.94;0;
Mattia Zaccagni;28;30.8;10;6;16;3.3;1.5;118;76;282;0.32;0.19;0.52;0.1;0.04;
Duván Zapata;32;15.5;2;2;4;-1.9;0.9;35;40;140;0.13;0.13;0.26;-0.12;0.06;
Karim Zedadka;23;0.2;0;0;0;0;0;1;0;4;0.00;0.00;0.00;0;0;
Alessio Zerbin;24;2.2;0;0;0;-0.3;0;5;6;20;0.00;0.00;0.00;-0.12;0;
Joshua Zirkzee;22;9.1;2;2;4;-1.1;0.6;10;17;74;0.22;0.22;0.44;-0.12;0.07;
Simon Zoller;32;16.2;3;2;5;-1.1;0.9;10;21;61;0.19;0.12;0.31;-0.07;0.05;
Milan Đurić;33;15.2;1;1;2;-0.4;-0.3;2;29;72;0.07;0.07;0.13;-0.02;-0.01;
Matthis Abline;20;9.0;2;1;3;-1.6;0.3;14;8;49;0.22;0.11;0.33;-0.18;0.03;
Matthis Abline;20;1.2;1;0;1;0.2;-0.3;4;2;11;0.84;0.00;0.84;0.19;-0.22;
Zakaria Aboukhlal;23;27.5;10;5;15;-1.5;1.7;100;72;276;0.36;0.18;0.55;-0.06;0.06;
Sargis Adamyan;30;7.2;1;2;3;-2.4;1.2;12;24;58;0.14;0.28;0.42;-0.33;0.17;
Karim Adeyemi;21;15.4;6;5;11;1;1.3;49;47;131;0.39;0.32;0.71;0.06;0.08;
Amine Adli;23;15.9;5;3;8;0;1.3;46;49;137;0.31;0.19;0.50;0;0.08;
Michel Aebischer;26;17.1;1;0;1;-0.5;-0.6;14;46;85;0.06;0.00;0.06;-0.02;-0.04;
Felix Afena-Gyan;20;9.1;0;0;0;-1.9;-0.1;22;8;54;0.00;0.00;0.00;-0.21;-0.02;
Ludovic Ajorque;29;13.5;6;1;7;1.4;-0.7;5;31;85;0.45;0.07;0.52;0.11;-0.06;
Lucas Alario;31;3.7;1;0;1;-0.4;0;2;8;17;0.27;0.00;0.27;-0.12;-0.01;
Marc Albrighton;34;2.6;1;0;1;0.7;-0.9;4;7;18;0.38;0.00;0.38;0.25;-0.34;
Mohamed Ali Cho;19;6.5;1;2;3;-0.8;0.4;30;8;63;0.15;0.31;0.46;-0.13;0.06;
Julián Álvarez;23;16.3;9;0;9;2;-1.8;38;37;99;0.55;0.00;0.55;0.12;-0.11;
Agustín Álvarez Martínez;22;4.1;1;1;2;-0.5;0.6;2;6;19;0.24;0.24;0.49;-0.12;0.14;
Christopher Antwi-Adjei;29;22.0;3;6;9;0.8;2.2;67;36;231;0.14;0.27;0.41;0.04;0.1;
Cameron Archer;22;0.5;0;0;0;0;0;3;0;3;0.00;0.00;0.00;0;0;
Adam Armstrong;26;14.8;2;1;3;-0.1;-0.3;39;16;70;0.13;0.07;0.20;-0.01;-0.02;
Takuma Asano;29;19.0;3;3;6;-2.6;0.9;32;34;119;0.16;0.16;0.32;-0.13;0.05;
Marco Asensio;27;16.0;9;6;15;2.7;1.1;56;70;108;0.56;0.37;0.94;0.17;0.07;
Ezequiel Ávila;29;19.0;8;2;10;1.3;0.3;23;39;96;0.42;0.11;0.53;0.07;0.02;
André Ayew;34;3.5;0;0;0;-1;0;3;11;16;0.00;0.00;0.00;-0.3;-0.01;
Jordan Ayew;32;30.2;4;3;7;0.8;-0.2;83;63;174;0.13;0.10;0.23;0.03;-0.01;
Sardar Azmoun;28;10.3;4;1;5;0.5;-1.5;11;32;45;0.39;0.10;0.49;0.05;-0.14;
Leon Bailey;26;21.9;4;4;8;-1.3;-0.8;85;28;182;0.18;0.18;0.37;-0.06;-0.04;
Nedim Bajrami;24;9.1;1;0;1;-0.9;-1.5;23;44;96;0.11;0.00;0.11;-0.1;-0.16;
Dominic Ballard;18;0.3;0;0;0;0;0;1;0;1;0.00;0.00;0.00;0;0;
Lameck Banda;22;18.2;2;1;3;-1.1;-0.3;86;28;160;0.11;0.06;0.17;-0.06;-0.01;
Léo Baptistão;31;19.2;5;1;6;0.1;-0.2;38;51;83;0.26;0.05;0.31;0;-0.01;
Bradley Barcola;21;16.0;5;8;13;1.5;4.1;51;39;156;0.31;0.50;0.81;0.09;0.25;
Kike Barja;26;14.6;1;6;7;-0.2;2.1;61;35;185;0.07;0.41;0.48;-0.01;0.15;
Harvey Barnes;26;30.1;13;1;14;4.1;-2.1;100;79;257;0.43;0.03;0.46;0.13;-0.07;
Musa Barrow;25;21.8;3;8;11;0;3.3;68;58;141;0.14;0.37;0.50;0;0.15;
Yanis Begraoui;22;0.7;0;0;0;0;-0.3;1;3;3;0.00;0.00;0.00;0;-0.37;
Youcef Belaïli;31;4.0;0;2;2;-0.7;1.2;16;14;31;0.00;0.51;0.51;-0.17;0.32;
Karim Bellarabi;33;0.9;0;0;0;0;0;4;4;11;0.00;0.00;0.00;0;0;
Eliesse Ben Seghir;18;11.7;4;1;5;2.1;-0.2;31;55;93;0.34;0.09;0.43;0.17;-0.02;
Iker Benito;21;2.0;0;0;0;0;-0.3;9;3;15;0.00;0.00;0.00;0;-0.14;
Saïd Benrahma;28;23.0;6;3;9;-1;-1.5;109;82;237;0.26;0.13;0.39;-0.05;-0.07;
Veljko Birmančević;25;4.9;0;0;0;-1.3;-0.2;21;16;50;0.00;0.00;0.00;-0.27;-0.05;
Federico Bonazzoli;26;12.4;2;1;3;-0.4;-0.1;11;43;67;0.16;0.08;0.24;-0.03;-0.01;
Yvandro Borges Sanches;19;0.3;0;0;0;-0.1;0;1;0;5;0.00;0.00;0.00;-0.34;0;
Kouamé Botué;21;2.5;0;0;0;-1.2;-0.1;4;4;16;0.00;0.00;0.00;-0.48;-0.05;
Badredine Bouanani;19;9.6;0;4;4;-1.7;0.5;47;31;98;0.00;0.42;0.42;-0.18;0.06;
Sofiane Boufal;30;9.3;4;3;7;0.4;0.1;49;56;94;0.43;0.32;0.76;0.04;0;
Jarrod Bowen;27;35.9;6;5;11;-2.9;-2.4;102;72;213;0.17;0.14;0.31;-0.08;-0.06;
Bilal Brahimi;23;8.9;3;2;5;2;0.3;41;16;100;0.34;0.23;0.56;0.22;0.04;
Martin Braithwaite;32;27.3;10;2;12;0.8;0.6;32;54;126;0.37;0.07;0.44;0.03;0.02;
Josip Brekalo;25;2.5;0;0;0;-0.7;-0.5;11;18;31;0.00;0.00;0.00;-0.26;-0.2;
David Brooks;26;1.9;0;0;0;-0.3;-0.2;5;11;10;0.00;0.00;0.00;-0.13;-0.11;
Moritz Broschinski;23;2.4;2;0;2;0.7;0;7;3;17;0.85;0.00;0.85;0.31;-0.01;
Adam Buksa;27;1.1;0;0;0;0;0;1;3;9;0.00;0.00;0.00;0;-0.04;
Marius Bülter;30;28.9;11;1;12;2;-3.6;78;86;199;0.38;0.03;0.42;0.07;-0.13;
Facundo Buonanotte;19;6.3;1;1;2;-0.4;0.5;9;13;42;0.16;0.16;0.32;-0.06;0.07;
Delano Burgzorg;25;2.7;0;1;1;-0.2;0.9;4;4;24;0.00;0.37;0.37;-0.06;0.35;
Oliver Burke;26;3.0;2;0;2;1;-0.3;11;7;36;0.67;0.00;0.67;0.32;-0.09;
Jamie Bynoe-Gittens;19;5.9;3;1;4;0.6;0.3;24;9;38;0.51;0.17;0.68;0.1;0.05;
Ousmane Camara;22;0.3;0;0;0;-0.1;-0.2;2;2;1;0.00;0.00;0.00;-0.19;-0.83;
Nicolò Cambiaghi;23;14.3;6;1;7;2.6;-0.1;73;42;99;0.42;0.07;0.49;0.19;-0.01;
Axel Camblan;20;0.8;0;0;0;-0.2;-0.1;2;4;9;0.00;0.00;0.00;-0.22;-0.17;
Chem Campbell;21;0.8;0;0;0;-0.1;0;2;4;10;0.00;0.00;0.00;-0.12;0;
Sergio Canales;32;26.7;4;3;7;-0.4;-2.9;82;143;150;0.15;0.11;0.26;-0.01;-0.11;
Irvin Cardona;26;2.6;0;0;0;-0.2;-0.3;3;4;14;0.00;0.00;0.00;-0.08;-0.12;
Samu Castillejo;28;15.1;4;0;4;1.1;-3;54;76;115;0.26;0.00;0.26;0.07;-0.2;
Yoann Cathline;21;12.1;1;1;2;-0.5;0.3;46;29;106;0.08;0.08;0.17;-0.04;0.03;
Julio César Enciso;19;9.0;4;2;6;0;0.3;39;31;74;0.45;0.22;0.67;0;0.03;
Fares Chaïbi;21;26.0;5;5;10;-0.9;0.1;71;101;212;0.19;0.19;0.38;-0.04;0;
Gaëtan Charbonnier;35;2.8;1;0;1;0.4;-0.2;2;11;18;0.35;0.00;0.35;0.14;-0.05;
Pep Chavarría;25;4.1;0;2;2;-0.1;1.3;13;19;25;0.00;0.49;0.49;-0.02;0.32;
Samuel Chukwueze;24;26.0;6;5;11;-0.5;0.7;133;85;261;0.23;0.19;0.42;-0.02;0.03;
Marcus Coco;27;7.1;1;0;1;-0.1;-1.1;23;26;56;0.14;0.00;0.14;-0.02;-0.15;
Kingsley Coman;27;15.7;8;5;13;3.4;-0.5;98;70;296;0.51;0.32;0.83;0.22;-0.03;
Ángel Correa;28;16.2;9;1;10;1.8;-2.5;44;58;142;0.56;0.06;0.62;0.12;-0.16;
Nuno da Costa;32;22.3;5;4;9;0.5;0.3;30;32;130;0.22;0.18;0.40;0.02;0.02;
Matheus Cunha;24;4.2;0;2;2;-1.4;1.2;6;7;19;0.00;0.48;0.48;-0.34;0.28;
Arnaut Danjuma;26;1.9;1;0;1;0.2;0;5;2;19;0.53;0.00;0.53;0.12;-0.02;
Manuel De Luca;25;0.5;0;0;0;0;0;0;0;4;0.00;0.00;0.00;0;0;
Sacha Delaye;21;0.2;1;0;1;0.9;0;1;1;0;4.50;0.00;4.50;4.19;0;
Karamoko Dembele;20;2.0;0;0;0;-0.2;-0.2;7;5;26;0.00;0.00;0.00;-0.11;-0.08;
Moussa Dembélé;27;9.7;3;0;3;-0.8;-0.3;10;23;66;0.31;0.00;0.31;-0.08;-0.03;
Siriki Dembélé;27;1.2;0;0;0;-0.2;-0.3;5;4;11;0.00;0.00;0.00;-0.15;-0.25;
Ermedin Demirović;25;26.3;8;4;12;0.5;0.5;26;48;120;0.30;0.15;0.46;0.01;0.02;
Emmanuel Dennis;26;8.0;2;2;4;0.1;1.4;24;17;63;0.25;0.25;0.50;0.02;0.18;
Mattia Destro;32;6.3;1;0;1;-0.4;-0.4;4;4;20;0.16;0.00;0.16;-0.06;-0.06;
Samuel Di Carmine;35;0.3;0;0;0;-0.1;0;1;1;2;0.00;0.00;0.00;-0.28;0;
Federico Di Francesco;29;22.6;2;2;4;-1.3;-0.7;50;60;177;0.09;0.09;0.18;-0.05;-0.03;
Ángel Di María;35;15.1;4;4;8;0.9;-0.5;56;96;95;0.26;0.26;0.53;0.06;-0.03;
Boulaye Dia;27;28.0;16;6;22;7.2;2.9;48;50;140;0.57;0.21;0.79;0.26;0.1;
