Player;Age;90s;Gls;Ast;G+A;DxG;DxAG;PrgC;PrgP;PrgR;Gls/90;Ast/90;G+A/90;DxG/90;DxAG/90;Price
Renato Sanches;26;8.0;2;0;2;0.9;-1.7;30;56;25;0.25;0.00;0.25;0.11;-0.21;
Morgan Sanson;29;0.1;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0;0;
Morgan Sanson;29;15.8;1;2;3;-2.1;-0.1;43;60;70;0.06;0.13;0.19;-0.14;-0.01;
Baptiste Santamaria;28;20.1;2;0;2;0.9;-0.7;17;141;21;0.10;0.00;0.10;0.04;-0.03;
Muhammed Saracevic Cham;23;21.9;7;4;11;1;0.9;71;106;120;0.32;0.18;0.50;0.05;0.04;
Jeremy Sarmiento;21;2.0;0;1;1;-0.3;0.8;5;11;20;0.00;0.51;0.51;-0.17;0.4;
Mamadou Sarr;18;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Téji Savanier;32;28.3;12;4;16;3.4;-1.8;48;205;117;0.42;0.14;0.57;0.12;-0.07;
András Schäfer;24;9.6;0;0;0;-0.4;-0.2;15;26;18;0.00;0.00;0.00;-0.05;-0.02;
Xaver Schlager;26;16.7;1;1;2;0.7;0.3;23;77;12;0.06;0.06;0.12;0.04;0.02;
Niklas Schmidt;25;12.1;3;0;3;1.4;-1.3;26;64;49;0.25;0.00;0.25;0.11;-0.11;
Jerdy Schouten;26;27.9;0;2;2;-0.4;0.5;15;139;29;0.00;0.07;0.07;-0.02;0.02;
Manuel Sebastián;19;1.7;0;0;0;0;-0.1;0;4;1;0.00;0.00;0.00;-0.01;-0.04;
Telasco Segovia;20;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Paul Seguin;28;7.7;1;3;4;-0.2;1;13;49;28;0.13;0.39;0.52;-0.03;0.13;
Stefano Sensi;28;18.0;3;1;4;1.6;-1.1;27;143;37;0.17;0.06;0.22;0.09;-0.06;
Suat Serdar;26;22.5;4;2;6;2.1;0.4;33;78;48;0.18;0.09;0.27;0.09;0.02;
Eniss Shabani;20;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Jonjo Shelvey;31;0.4;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0;0;
Jonjo Shelvey;31;6.0;0;0;0;-0.2;-0.3;1;34;0;0.00;0.00;0.00;-0.03;-0.05;
Vincent Sierro;28;7.4;0;0;0;-0.5;-0.8;7;49;13;0.00;0.00;0.00;-0.06;-0.1;
David Silva;37;21.5;2;5;7;-1.9;1.4;70;162;121;0.09;0.23;0.33;-0.09;0.06;
Ibrahima Sissoko;26;14.6;0;2;2;-0.7;1.1;18;67;41;0.00;0.14;0.14;-0.05;0.08;
Moussa Sissoko;34;21.3;2;0;2;-0.4;-0.9;33;105;70;0.09;0.00;0.09;-0.02;-0.04;
Ellyes Skhiri;28;31.7;7;1;8;1.7;-0.8;50;155;61;0.22;0.03;0.25;0.05;-0.03;
Oliver Skipp;23;16.6;1;0;1;0.7;-0.6;14;56;25;0.06;0.00;0.06;0.04;-0.04;
Naatan Skyttä;21;0.3;0;0;0;-0.1;0;1;3;2;0.00;0.00;0.00;-0.4;0;
Augusto Solari;31;2.9;0;1;1;-0.3;0.8;5;12;14;0.00;0.34;0.34;-0.09;0.27;
Carlos Soler;26;2.7;1;0;1;0.1;-0.2;3;13;7;0.37;0.00;0.37;0.02;-0.08;
Carlos Soler;26;13.2;3;2;5;1.4;0.6;18;53;67;0.23;0.15;0.38;0.11;0.04;
Hugo Sotelo;20;0.2;0;0;0;0;0;0;2;0;0.00;0.00;0.00;-0.2;0;
Tomáš Souček;28;31.3;2;3;5;-2;1.1;11;88;52;0.06;0.10;0.16;-0.07;0.04;
Boubakary Soumaré;24;18.1;0;0;0;0;-0.4;17;73;20;0.00;0.00;0.00;0;-0.02;
Vinicius Souza;24;27.0;1;1;2;0.2;0.4;13;82;14;0.04;0.04;0.07;0.01;0.02;
Djibril Sow;26;29.4;4;0;4;2.3;-1;35;186;29;0.14;0.00;0.14;0.08;-0.04;
Stijn Spierings;27;34.7;2;0;2;0.2;-2.1;31;231;30;0.06;0.00;0.06;0.01;-0.06;
Anton Stach;25;23.0;1;4;5;-1.2;0.4;37;106;77;0.04;0.17;0.22;-0.06;0.01;
Jens Stage;27;20.6;3;3;6;-0.1;1.2;19;61;55;0.15;0.15;0.29;0;0.06;
Veit Stange;19;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Junior Stanislas;34;0.7;0;0;0;0;-0.1;0;4;5;0.00;0.00;0.00;-0.05;-0.19;
Angelo Stiller;22;7.8;1;1;2;0.7;0.5;4;34;16;0.13;0.13;0.26;0.09;0.07;
Kevin Stöger;30;28.9;5;3;8;0.6;-2.7;43;214;98;0.17;0.10;0.28;0.02;-0.1;
Ibrahim Sulemana;20;7.2;0;0;0;-0.3;-0.2;4;18;5;0.00;0.00;0.00;-0.05;-0.03;
Ivan Šunjić;27;11.0;0;0;0;-0.6;-0.2;6;30;6;0.00;0.00;0.00;-0.06;-0.01;
Williot Swedberg;19;0.6;0;0;0;0;0;1;4;5;0.00;0.00;0.00;0;0;
Benjamin Tahirovic;20;3.9;0;0;0;0;-0.2;0;9;3;0.00;0.00;0.00;0;-0.04;
Waniss Taibi;21;2.1;0;1;1;-0.3;0.9;8;16;7;0.00;0.48;0.48;-0.15;0.45;
Flavien Tait;30;18.7;2;2;4;-0.3;-0.2;52;154;56;0.11;0.11;0.21;-0.02;-0.01;
Adrien Tameze;29;33.7;0;0;0;-0.9;-0.9;32;103;58;0.00;0.00;0.00;-0.03;-0.03;
Florian Tardieu;31;11.2;3;0;3;0.1;-1;20;83;17;0.27;0.00;0.27;0.01;-0.09;
Aurélien Tchouaméni;23;23.5;0;4;4;-1.8;1.8;41;142;23;0.00;0.17;0.17;-0.08;0.08;
Ramón Terrats;23;9.1;1;1;2;0.1;-0.5;21;45;32;0.11;0.11;0.22;0.01;-0.05;
Ramón Terrats;23;2.4;0;0;0;-0.2;0;4;6;4;0.00;0.00;0.00;-0.08;-0.02;
Adrien Thomasson;30;10.4;0;2;2;-1.5;0.1;15;41;73;0.00;0.19;0.19;-0.15;0.01;
Morten Thorsby;27;9.3;1;1;2;0.2;0.5;0;15;21;0.11;0.11;0.22;0.02;0.06;
Kristian Thorstvedt;24;12.6;2;1;3;-0.1;-0.1;31;60;54;0.16;0.08;0.24;-0.01;-0.01;
Khéphren Thuram;22;28.3;2;4;6;-1.2;-1.1;92;128;77;0.07;0.14;0.21;-0.04;-0.04;
Youri Tielemans;26;26.0;3;2;5;0.5;-2.7;35;181;56;0.12;0.08;0.19;0.02;-0.1;
Corentin Tolisso;29;22.6;1;2;3;-0.7;-2.4;32;230;52;0.04;0.09;0.13;-0.04;-0.11;
Sandro Tonali;23;30.1;2;7;9;-0.4;1.3;61;159;86;0.07;0.23;0.30;-0.01;0.04;
Lucas Torró;29;27.5;1;0;1;-0.4;-0.3;12;98;17;0.04;0.00;0.04;-0.01;-0.01;
Nabil Touaizi;22;0.0;0;0;0;0;0;0;1;1;0.00;0.00;0.00;0;0;
Birama Touré;31;37.8;2;0;2;0.1;-0.2;10;138;25;0.05;0.00;0.05;0;-0.01;
Lucas Tousart;26;32.7;5;2;7;1.4;0;37;93;79;0.15;0.06;0.21;0.04;0;
Boubacar Traoré;22;4.6;0;1;1;-0.1;0.8;4;8;2;0.00;0.22;0.22;-0.01;0.18;
Manu Trigueros;32;9.2;0;1;1;-0.4;-0.1;12;76;22;0.00;0.11;0.11;-0.04;-0.01;
Théo Trinker;22;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0;0;
Theocharis Tsingaras;23;0.1;0;0;0;0;-0.1;0;1;0;0.00;0.00;0.00;0;-0.85;
Viktor Tsyhankov;26;16.5;3;6;9;0.2;3.1;63;46;120;0.18;0.36;0.54;0.01;0.19;
Chimuanya Ugochukwu;19;14.8;0;1;1;-0.9;0.2;11;50;11;0.00;0.07;0.07;-0.06;0.01;
Lauren Ulrich;18;0.1;0;0;0;0;0;1;1;0;0.00;0.00;0.00;0;0;
Oscar Ureña;20;1.1;0;0;0;-0.2;0;1;1;10;0.00;0.00;0.00;-0.16;0;
Óscar Valentín;29;28.4;0;0;0;-0.5;-0.9;21;133;17;0.00;0.00;0.00;-0.02;-0.03;
